"year","quadrant","attitude","field","movement","individuals","region","weight","axis_pa","axis_pu","axis_ie","lat","lon"
"-40000","PxU","I/E","Spirituality","Paleolithic Cave Art & Ritual","Unknown shamans","Global","9","-0.9","0.6","0.0","15.0","10.0"
"-30000","PxP","I/E","Spirituality","Animism (Archaic)","Unknown","Global","9","-0.9","-0.2","0.0","15.0","10.0"
"-30000","PxP","E","Art","Paleolithic Sculpture (Venus figurines)","Unknown","Europe/Asia","7","-0.7","-0.3","0.5","45.0","15.0"
"-25000","AxP","E","Science","Early Tool & Weapon Technology (Flint-knapping)","Unknown","Global","8","0.5","-0.9","0.7","15.0","10.0"
"-15000","PxP","E","Science","Bone & Antler Tool Craft","Unknown","Global","7","-0.5","-0.8","0.7","45.0","15.0"
"-10000","PxP","E","Science","Neolithic Agriculture & Domestication","Unknown","Middle East/Asia","10","-0.6","-0.7","0.8","35.0","38.0"
"-10000","PxP","I/E","Spirituality","Shamanism (Siberian & Central Asian)","Unknown","Central Asia","8","-0.8","0.3","0.0","60.0","80.0"
"-9000","PxP","E","Art","Neolithic Goddess Cultures / Çatalhöyük","Unknown","Anatolia","7","-0.8","-0.2","0.7","37.8","32.5"
"-8000","PxU","E","Spirituality","Proto-Druidic / Celtic Nature Religion","Unknown","Western Europe","6","-0.9","0.4","0.7","52.0","-3.0"
"-7000","PxP","E","Science","Megalithic Architecture & Stone Engineering","Unknown","Western Europe","7","-0.6","-0.5","0.8","51.0","-2.0"
"-6000","PxP","E","Science","Early Pottery & Ceramic Technology","Unknown","Global","8","-0.7","-0.8","0.8","35.0","38.0"
"-5000","PxP","E","Science","Copper & Early Metallurgy (Chalcolithic)","Unknown","Middle East/Europe","8","-0.5","-0.8","0.8","37.0","35.0"
"-4000","AxP","E","Science","Proto-Writing & Accounting (Tokens, Seals)","Unknown Sumerian scribes","Mesopotamia","8","0.5","-0.7","0.9","32.0","44.0"
"-3500","AxP","E","Science","Invention of the Wheel & Axle","Unknown","Mesopotamia","9","0.3","-0.8","0.9","32.0","44.0"
"-3300","AxP","E","Science","Cuneiform Writing System","Unknown Sumerian scribes","Mesopotamia","10","0.7","-0.5","0.9","32.5","44.4"
"-3200","AxP","E","Science","Egyptian Hieroglyphic Writing","Unknown","Egypt","9","0.6","-0.4","0.9","26.0","32.0"
"-3200","PxP","E","Art","Early Bronze Age Art (Sumerian)","Unknown","Mesopotamia","7","-0.6","-0.3","0.8","32.0","44.0"
"-3000","PxP","E","Science","Bronze Metallurgy (Bronze Age)","Unknown","Middle East/Europe","9","-0.5","-0.8","0.8","37.0","35.0"
"-2900","PxU","E","Art","Sumerian Temple Architecture (Ziggurats)","Unknown architects","Mesopotamia","8","-0.8","0.5","0.8","32.5","44.4"
"-2700","PxP","E","Science","Early Textile Weaving & Loom Technology","Unknown","Global","7","-0.6","-0.8","0.8","35.0","38.0"
"-2600","PxP","E","Art","Minoan Art & Fresco Painting","Unknown Cretan artists","Mediterranean","7","-0.7","-0.3","0.8","35.2","25.2"
"-2600","PxP","E","Art","Indus Valley Craft & Seal Art","Unknown","South Asia","7","-0.6","-0.5","0.8","27.0","68.0"
"-3500","PxU","E","Spirituality","Sumerian Religion & Mythology","Unknown priests","Mesopotamia","8","-0.9","0.7","0.8","32.5","44.4"
"-3100","PxP","E","Art","Egyptian Monumental Architecture (Pyramids)","Imhotep, Hemiunu","Egypt","9","-0.7","-0.4","0.9","29.9","31.1"
"-3000","PxU","E","Spirituality","Ancient Egyptian Religion","Imhotep, Thoth (mythic)","Egypt","9","-0.9","0.8","0.8","26.8","30.8"
"-2700","PxP","E","Art","Gilgamesh Epic & Sumerian Literature","Sin-leqi-unninni","Mesopotamia","9","-0.7","0.1","0.8","32.5","44.4"
"-2600","AxP","E","Science","Egyptian Mathematics & Surveying","Unknown scribes","Egypt","7","0.7","-0.6","0.8","26.8","30.8"
"-2500","PxP","E","Science","Egyptian Medicine & Surgery (Edwin Smith Papyrus)","Unknown physicians","Egypt","7","-0.5","-0.6","0.7","26.8","30.8"
"-2000","PxU","I","Art","Egyptian Funerary Art & Book of the Dead","Various scribes","Egypt","8","-0.8","0.6","-0.3","26.8","30.8"
"-1800","AxP","E","Science","Babylonian Astronomy & Mathematics","Unknown","Mesopotamia","8","0.7","-0.3","0.8","32.5","44.4"
"-1800","AxP","E","Philosophy","Code of Hammurabi (Early Law System)","Hammurabi","Mesopotamia","7","0.6","-0.6","0.9","32.5","44.4"
"-1700","PxP","E","Art","Minoan Palace Architecture & Fresco","Unknown Cretan architects","Mediterranean","7","-0.7","-0.3","0.8","35.2","25.2"
"-1500","PxU","I","Spirituality","Ancient Egyptian Hermetism (proto)","Thoth (mythic)","Egypt","7","-0.6","0.7","-0.5","26.8","30.8"
"-1500","PxP","E","Science","Iron Smelting & Iron Metallurgy (early)","Unknown Hittite smiths","Anatolia","9","-0.5","-0.8","0.9","38.0","35.0"
"-1400","PxP","E","Art","Mycenaean Art & Architecture","Unknown Greek craftsmen","Mediterranean","6","-0.6","-0.4","0.8","37.5","22.5"
"-1350","AxU","I","Spirituality","Atenism (Monotheistic Sun Religion)","Akhenaten","Egypt","6","0.3","0.9","-0.7","26.8","30.8"
"-1200","AxP","E","Science","Phoenician Alphabetic Writing System","Unknown Phoenician scribes","Middle East","10","0.8","-0.5","0.9","34.0","36.0"
"-900","PxP","E","Art","Assyrian Palace Reliefs & Court Art","Unknown artists","Mesopotamia","6","-0.5","-0.4","0.8","36.2","43.1"
"-600","AxP","E","Science","Babylonian Astronomical Tablets (MUL.APIN)","Unknown astrologers","Mesopotamia","7","0.8","-0.4","0.8","32.5","44.4"
"-3000","PxU","I/E","Spirituality","Indus Valley Religion & Yoga Proto-Forms","Unknown","South Asia","7","-0.8","0.4","0.0","27.0","68.0"
"-2500","PxP","E","Science","Indus Valley Urban Engineering & Sanitation","Unknown engineers","South Asia","7","-0.5","-0.7","0.8","27.0","68.0"
"-1500","PxU","I/E","Spirituality","Vedic Religion (Rigveda)","Unknown rishis","South Asia","9","-0.8","0.7","0.0","28.6","77.2"
"-1000","PxP","E","Art","Vedic Oral Poetry & Hymn Tradition","Valmiki (later), Unknown rishis","South Asia","8","-0.7","-0.1","0.8","28.6","77.2"
"-900","AxU","I","Spirituality","Upanishadic Philosophy (early Vedanta)","Yajnavalkya, Uddalaka Aruni, Gargi","South Asia","9","0.7","0.8","-0.8","25.0","82.0"
"-700","AxP","E","Science","Vedanga & Early Indian Astronomy (Jyotisha)","Lagadha","South Asia","6","0.6","-0.4","0.8","25.0","82.0"
"-600","PxU","I","Spirituality","Early Tantra (proto-Shaiva)","Unknown siddhas","South Asia","7","-0.8","0.7","-0.7","28.0","77.0"
"-599","PxP","E","Spirituality","Jainism","Mahavira, Parshvanatha","South Asia","7","-0.6","-0.3","0.8","22.3","72.6"
"-563","PxP","I","Spirituality","Early Buddhism (Theravada)","Siddhartha Gautama, Ananda, Sariputta","South Asia","10","-0.6","-0.4","-0.8","27.5","85.3"
"-400","AxP","E","Science","Panini's Sanskrit Grammar (Ashtadhyayi)","Panini","South Asia","8","0.7","-0.6","0.8","34.0","71.5"
"-400","AxP","E","Philosophy","Arthashastra (Political Science)","Kautilya (Chanakya)","South Asia","7","0.7","-0.7","0.8","13.0","77.6"
"-300","AxU","I","Philosophy","Advaita Vedanta (Gaudapada line)","Gaudapada, Adi Shankaracharya","South Asia","9","0.8","0.9","-0.8","13.0","77.6"
"-300","AxP","E","Philosophy","Nyaya-Vaisheshika (Indian Logic & Atomism)","Gautama Aksapada, Kanada","South Asia","7","0.8","-0.6","0.8","25.0","82.0"
"-300","AxP","E","Science","Indian Mathematics (Sulbasutras)","Baudhayana, Apastamba","South Asia","8","0.6","-0.5","0.8","25.0","82.0"
"-200","AxU","I","Philosophy","Samkhya Philosophy (Kapila)","Kapila","South Asia","8","0.8","0.8","-0.8","30.0","76.0"
"-200","AxP","I","Philosophy","Yoga Sutras (Patanjali)","Patanjali","South Asia","8","0.5","-0.3","-0.8","29.0","77.0"
"-200","PxP","E","Art","Sanskrit Epic Literature (Mahabharata, Ramayana)","Vyasa (mythic), Valmiki","South Asia","9","-0.6","-0.1","0.8","25.0","82.0"
"-200","PxP","E","Art","Natyashastra (Indian Aesthetics & Performance Theory)","Bharata Muni","South Asia","8","-0.7","-0.3","0.8","13.0","77.6"
"100","AxU","I","Spirituality","Mahayana Buddhism","Nagarjuna, Asanga, Vasubandhu","South Asia","9","0.6","0.8","-0.7","34.0","72.0"
"200","PxU","E","Spirituality","Shaiva Siddhanta","Tirumular","South Asia","6","-0.8","0.7","0.6","11.0","79.0"
"300","AxP","E","Science","Classical Indian Mathematics (zero, Aryabhata)","Aryabhata, Brahmagupta","South Asia","9","0.7","-0.5","0.8","23.0","72.6"
"400","PxU","E","Spirituality","Bhakti Movement (Early Tamil, Alvars/Nayanmars)","Andal, Manikkavacakar, Appar, Nammalvar","South Asia","8","-0.9","0.6","0.8","10.8","78.7"
"400","PxP","E","Art","Classical Sanskrit Drama & Poetry (Kalidasa)","Kalidasa, Bhasa","South Asia","8","-0.7","-0.2","0.8","23.0","77.0"
"500","AxP","E","Science","Indian Astronomy (Siddhanta tradition)","Varahamihira, Bhaskara I","South Asia","7","0.7","-0.4","0.8","23.0","72.6"
"600","PxU","I","Spirituality","Kashmir Shaivism","Abhinavagupta, Utpaladeva, Kshemaraja","South Asia","7","-0.8","0.8","-0.8","34.1","74.8"
"700","PxU","I","Spirituality","Vajrayana / Tantric Buddhism (introverted streams)","Padmasambhava, Milarepa, Naropa","South/Central Asia","8","-0.7","0.7","-0.9","27.5","85.3"
"700","PxU","E","Spirituality","Vajrayana / Tantric Buddhism (ritual/extroverted streams)","Tilopa, Marpa, various siddhas","South/Central Asia","7","-0.8","0.7","0.8","27.5","85.3"
"700","PxP","E","Science","Ayurvedic Medicine (classical codification)","Charaka, Sushruta, Vagbhata","South Asia","8","-0.5","-0.5","0.7","20.0","78.0"
"800","PxU","E","Spirituality","Shakta Tantrism (Left-hand path, Vamachara)","Various siddhas","South Asia","6","-0.8","0.6","0.7","22.5","88.4"
"900","PxP","E","Art","Chola Bronze Sculpture & Temple Architecture","Unknown craftsmen","South Asia","8","-0.7","-0.3","0.8","10.8","78.7"
"1000","PxU","E","Spirituality","Bhakti Movement (Medieval, North India)","Kabir, Mirabai, Tukaram, Namdev","South Asia","8","-0.9","0.6","0.8","25.6","85.1"
"1100","AxP","E","Science","Indian Mathematics (Bhaskara II, Kerala School proto-calculus)","Bhaskara II, Madhava of Sangamagrama","South Asia","8","0.7","-0.5","0.8","10.0","76.0"
"1200","AxU","I","Philosophy","Vishishtadvaita Vedanta","Ramanuja","South Asia","6","0.6","0.8","-0.8","13.0","80.2"
"1200","AxU","I","Philosophy","Dvaita Vedanta","Madhvacharya","South Asia","5","0.7","0.8","-0.7","13.9","75.7"
"1400","PxP","I","Spirituality","Hatha Yoga (classical texts)","Gorakhnath, Swatmarama","South Asia","7","-0.5","-0.5","-0.8","29.0","77.0"
"1400","PxU","E","Art","Rajput & Mughal Miniature Painting","Various court artists","South Asia","7","-0.7","-0.2","0.8","28.6","77.2"
"1469","PxU","I/E","Spirituality","Sikhism","Guru Nanak, Guru Gobind Singh, Guru Arjan","South Asia","8","-0.8","0.6","0.0","31.5","74.3"
"1486","PxU","E","Spirituality","Gaudiya Vaishnavism (Chaitanya)","Chaitanya Mahaprabhu, Rupa Goswami","South Asia","6","-0.9","0.7","0.8","22.6","88.4"
"1828","AxU","E","Spirituality","Brahmo Samaj (Hindu Reform)","Ram Mohan Roy, Debendranath Tagore","South Asia","6","0.5","0.6","0.8","22.6","88.4"
"1836","PxU","I","Spirituality","Ramakrishna — Mystical Synthesis","Ramakrishna Paramahamsa, Sarada Devi","South Asia","8","-0.9","0.8","-0.8","22.6","88.4"
"1863","AxU","E","Spirituality","Vivekananda — Neo-Vedanta (global mission)","Swami Vivekananda","South Asia/Global","8","0.5","0.8","0.9","22.6","88.4"
"1875","AxU","E","Philosophy","Arya Samaj (Vedic Reform)","Dayananda Saraswati","South Asia","5","0.5","0.7","0.8","28.6","77.2"
"1879","PxP","I","Spirituality","Ramana Maharshi — Self-Inquiry (Atma Vichara)","Ramana Maharshi","South Asia","8","-0.5","-0.1","-0.9","8.7","77.7"
"1893","PxP","I","Spirituality","Nisargadatta Maharaj — Direct Non-Dual Teaching","Nisargadatta Maharaj, Maurice Frydman","South Asia","7","-0.5","0.1","-0.8","18.9","72.8"
"1893","PxU","I","Spirituality","Anandamayi Ma — Spontaneous Devotional Mysticism","Anandamayi Ma","South Asia","6","-0.9","0.7","-0.8","23.8","90.4"
"1900","PxP","I","Spirituality","Sri Aurobindo — Integral Yoga","Sri Aurobindo, The Mother (Mirra Alfassa)","South Asia","7","-0.6","-0.1","-0.8","11.9","79.8"
"1910","PxU","E","Art","Bengal School & Rabindranath Tagore's Aesthetics","Rabindranath Tagore, Abanindranath Tagore","South Asia","8","-0.7","0.4","0.8","22.6","88.4"
"1920","PxP","I","Spirituality","Paramahansa Yogananda — Kriya Yoga (East-West)","Paramahansa Yogananda, Sri Yukteswar","South Asia/Global","7","-0.6","0.3","-0.7","22.6","88.4"
"1920","AxU","E","Philosophy","Gandhi — Satyagraha & Political Philosophy","Mahatma Gandhi","South Asia","9","0.3","0.6","0.8","23.0","72.6"
"1925","AxU","I","Spirituality","J. Krishnamurti — Choiceless Awareness (post-Theosophical)","J. Krishnamurti","South Asia/Global","7","-0.4","-0.2","-0.8","13.0","80.2"
"1920","PxP","E","Spirituality","Modern & Contemporary Yoga Movement","T. Krishnamacharya, B.K.S. Iyengar, Pattabhi Jois, T.K.V. Desikachar","South Asia/Global","8","-0.5","-0.4","0.8","12.3","76.7"
"1950","AxU","E","Philosophy","B.R. Ambedkar — Neo-Buddhism & Dalit Philosophy","B.R. Ambedkar","South Asia","7","0.5","0.6","0.9","18.9","72.8"
"1966","PxU","E","Spirituality","ISKCON / Gaudiya Vaishnavism (global)","Swami Prabhupada","Global","6","-0.8","0.6","0.9","22.6","88.4"
"1970","PxP","I/E","Spirituality","Osho / Rajneesh Movement","Bhagwan Shree Rajneesh (Osho)","South Asia/Global","6","-0.7","0.1","0.0","22.7","75.9"
"-5000","PxP","E","Science","Early Chinese Pottery & Jade Craft (Yangshao)","Unknown","East Asia","7","-0.6","-0.8","0.8","35.0","108.0"
"-3000","AxP","E","Science","Chinese Writing System (Oracle Bone Script)","Unknown Shang scribes","East Asia","9","0.5","-0.4","0.9","35.0","108.0"
"-2700","AxU","I","Philosophy","I Ching (Yijing) — Divination & Cosmology","Fu Xi (mythic), King Wen, Duke of Zhou","East Asia","8","0.4","0.7","-0.7","34.3","108.9"
"-2700","PxP","E","Science","Chinese Bronze Casting & Metallurgy","Unknown craftsmen","East Asia","8","-0.5","-0.8","0.8","35.0","108.0"
"-2600","PxP","E","Science","Traditional Chinese Medicine (proto, Huangdi Neijing)","Huangdi (mythic), Bian Que","East Asia","8","-0.6","-0.5","0.8","35.0","105.0"
"-1600","PxP","E","Art","Shang Dynasty Ritual Bronze Art","Unknown craftsmen","East Asia","7","-0.6","-0.3","0.8","35.0","114.0"
"-1000","PxU","E","Art","Chinese Court Music & Ritual (Zhou Li)","Duke of Zhou (mythic)","East Asia","7","-0.8","0.5","0.8","35.0","113.0"
"-600","PxP","I/E","Spirituality","Proto-Taoism / Chinese Naturalism","Unknown","East Asia","7","-0.7","0.0","0.0","35.0","108.0"
"-551","AxP","E","Philosophy","Confucianism","Kongzi (Confucius), Mencius, Xunzi","East Asia","9","0.5","-0.5","0.9","35.6","116.3"
"-500","PxU","I","Spirituality","Classical Taoism (Laozi, Zhuangzi)","Laozi, Zhuangzi, Liezi","East Asia","9","-0.8","0.7","-0.8","35.0","108.0"
"-400","AxP","E","Science","Chinese Mathematical Classics (Nine Chapters)","Liu Hui","East Asia","7","0.7","-0.6","0.8","32.0","119.0"
"-300","AxP","E","Philosophy","Legalism (Fajia)","Han Fei, Shang Yang, Li Si","East Asia","6","0.7","-0.6","0.9","34.3","108.9"
"-300","AxP","E","Philosophy","Mohism","Mozi","East Asia","5","0.6","-0.5","0.9","34.3","117.0"
"-300","AxU","I","Philosophy","School of Names (Logicians)","Gongsun Long, Hui Shi","East Asia","4","0.7","0.6","-0.5","35.0","108.0"
"-300","PxP","E","Art","Chinese Calligraphy (classical forms)","Wang Xizhi (later)","East Asia","8","-0.6","-0.4","0.8","32.0","119.0"
"-200","AxP","E","Science","Chinese Imperial Science (Han dynasty)","Zhang Heng, Shen Kuo (later)","East Asia","7","0.6","-0.4","0.8","34.3","108.9"
"0","PxP","E","Science","Chinese Papermaking & Printing Technology","Cai Lun, Bi Sheng","East Asia","10","-0.5","-0.8","0.9","35.0","113.0"
"200","PxU","E","Spirituality","Religious Taoism (Daojiao, Way of Celestial Masters)","Zhang Daoling, Ge Hong","East Asia","7","-0.8","0.5","0.7","30.0","108.0"
"300","PxP","E","Art","Chinese Landscape Painting (Shanshui)","Gu Kaizhi, Dong Yuan (later)","East Asia","8","-0.7","-0.3","0.8","30.0","114.0"
"300","PxU","I","Spirituality","Taoist Inner Alchemy (Neidan)","Ge Hong, Wei Boyang, Zhang Boduan","East Asia","7","-0.7","0.5","-0.8","30.0","108.0"
"400","AxP","E","Science","Chinese Gunpowder & Alchemical Science","Unknown Taoist alchemists","East Asia","8","0.4","-0.7","0.8","30.0","108.0"
"500","PxP","I","Spirituality","Chan Buddhism (introverted: sitting, koan)","Bodhidharma, Huineng, Linji Yixuan","East Asia","9","-0.7","-0.3","-0.8","32.0","119.0"
"600","PxP","E","Art","Tang Dynasty Poetry (Golden Age)","Li Bai, Du Fu, Wang Wei","East Asia","9","-0.7","-0.3","0.8","34.3","108.9"
"600","AxP","E","Science","Chinese Astronomy & State Calendar (Tang)","Yi Xing, Li Chunfeng","East Asia","6","0.6","-0.4","0.8","34.3","108.9"
"617","AxU","I","Spirituality","Wonhyo — Korean Buddhist Synthesis (Hwajaeng)","Wonhyo","East Asia","6","0.5","0.7","-0.8","37.6","126.9"
"700","PxP","E","Art","Japanese Court Literature & Poetry (Manyoshu)","Kakinomoto Hitomaro","East Asia","7","-0.6","-0.3","0.8","35.0","135.0"
"774","PxU","I","Spirituality","Shingon Buddhism (Japanese Esoteric)","Kukai (Kobo Daishi)","East Asia","7","-0.8","0.7","-0.8","34.7","135.5"
"800","PxP","I","Art","Heian Court Culture & Aesthetics (Mono no Aware)","Murasaki Shikibu, Sei Shonagon","East Asia","8","-0.7","-0.2","-0.7","35.0","135.0"
"900","AxU","E","Philosophy","Neo-Confucianism (Song dynasty, Zhu Xi school)","Zhu Xi, Cheng Yi, Zhou Dunyi","East Asia","7","0.5","0.6","-0.7","30.0","120.0"
"900","AxP","E","Science","Song Dynasty Technology (printing, compass, gunpowder)","Bi Sheng, Shen Kuo","East Asia","9","0.6","-0.5","0.8","30.0","120.0"
"1000","PxU","E","Spirituality","Pure Land Buddhism (Jodo)","Honen, Shinran","East Asia","7","-0.8","0.6","0.8","35.7","139.7"
"1100","PxP","E","Spirituality","Shinto (classical formalization)","Unknown Shinto priests","East Asia","7","-0.7","-0.3","0.7","35.7","139.7"
"1173","PxP","I","Spirituality","Zen — Soto School (shikantaza, just sitting)","Dogen Zenji","East Asia","8","-0.7","-0.2","-0.9","35.7","139.7"
"1191","PxP","I/E","Spirituality","Zen — Rinzai School (koan, sudden enlightenment)","Eisai, Hakuin Ekaku","East Asia","8","-0.7","-0.1","-0.4","34.7","135.5"
"1200","PxP","E","Spirituality","Nichiren Buddhism","Nichiren Daishonin","East Asia","6","-0.6","-0.2","0.7","35.7","139.7"
"1200","AxU","I","Philosophy","Wang Yangming School (Xinxue, mind-only)","Wang Yangming","East Asia","7","0.5","0.7","-0.7","28.0","120.0"
"1200","PxP","I","Spirituality","Chinul — Korean Seon (sudden-gradual synthesis)","Chinul","East Asia","6","-0.6","-0.1","-0.8","37.6","126.9"
"1300","PxP","E","Art","Japanese Wabi-Sabi Aesthetic (Tea Ceremony)","Sen no Rikyu, Murata Juko","East Asia","7","-0.7","-0.4","0.5","34.7","135.5"
"1300","PxP","E","Art","Japanese Noh Theatre","Zeami Motokiyo, Kan'ami","East Asia","7","-0.7","-0.2","0.7","35.0","135.0"
"1400","PxP","E","Art","Chinese Novel & Fiction (Ming dynasty)","Wu Cheng'en, Luo Guanzhong","East Asia","7","-0.6","-0.4","0.8","32.0","119.0"
"1600","PxP","I/E","Art","Haiku Poetry (Japanese)","Matsuo Basho, Yosa Buson, Kobayashi Issa","East Asia","8","-0.8","-0.5","0.0","35.7","139.7"
"1700","PxP","E","Art","Edo Woodblock Print Art (Ukiyo-e)","Hokusai, Hiroshige, Utamaro","East Asia","8","-0.6","-0.5","0.8","35.7","139.7"
"1700","AxU","I","Philosophy","Kokugaku (Japanese National Learning)","Motoori Norinaga, Hirata Atsutane","East Asia","6","0.3","0.6","-0.8","35.7","139.7"
"1850","AxP","E","Philosophy","Meiji Westernization & Japanese Modernism","Fukuzawa Yukichi, Nishi Amane","East Asia","7","0.5","-0.4","0.9","35.7","139.7"
"1868","AxP","E","Science","Meiji Japanese Science & Technology","Various","East Asia","7","0.6","-0.5","0.9","35.7","139.7"
"1900","AxU","I","Philosophy","Kyoto School (Nishida, Nishitani)","Nishida Kitaro, Tanabe Hajime, Nishitani Keiji","East Asia","7","0.5","0.7","-0.8","35.0","135.5"
"1910","AxU","E","Philosophy","Chinese New Culture / May Fourth Movement","Chen Duxiu, Hu Shi, Lu Xun","East Asia","7","0.6","0.6","0.9","39.9","116.4"
"1920","AxP","E","Philosophy","Chinese Marxism / Mao Zedong Thought","Mao Zedong, Li Dazhao","East Asia","8","0.7","-0.5","0.9","39.9","116.4"
"1950","PxP","I","Spirituality","Tibetan Buddhism (diaspora, global spread)","Dalai Lama XIV, Chogyam Trungpa","Central Asia/Global","8","-0.6","-0.2","-0.6","29.7","91.1"
"1960","AxU","E","Philosophy","New Confucianism (Contemporary)","Mou Zongsan, Tang Junyi, Tu Weiming","East Asia","6","0.5","0.6","0.8","25.0","121.5"
"-1200","AxU","I","Spirituality","Zoroastrianism","Zoroaster (Zarathustra)","Persia","8","0.5","0.9","-0.8","32.4","53.7"
"200","AxU","I","Spirituality","Zurvanism (Zoroastrian offshoot)","Unknown","Persia","4","0.4","0.8","-0.7","32.4","53.7"
"200","PxU","E","Spirituality","Manichaeism","Mani","Persia","6","-0.7","0.7","0.7","32.4","53.7"
"-600","PxU","I/E","Spirituality","Bön Religion (pre-Buddhist Tibet)","Tonpa Shenrab (mythic)","Central Asia","6","-0.8","0.4","0.0","29.7","91.1"
"700","PxU","I","Spirituality","Tibetan Buddhism — Nyingma School","Padmasambhava, Yeshe Tsogyal, Longchenpa","Central Asia","8","-0.8","0.7","-0.8","29.7","91.1"
"1000","PxU","I","Spirituality","Tibetan Buddhism — Kagyu School","Marpa, Milarepa, Gampopa","Central Asia","7","-0.7","0.6","-0.8","29.7","91.1"
"1100","AxU","E","Spirituality","Tibetan Buddhism — Sakya School","Sakya Pandita, Drogon Chogyal Phagpa","Central Asia","6","0.4","0.7","0.7","29.7","91.1"
"1300","AxU","I","Spirituality","Tibetan Buddhism — Gelug School","Tsongkhapa, Dalai Lama I","Central Asia","7","0.4","0.8","-0.7","29.7","91.1"
"1300","PxU","I","Art","Tibetan Thangka Painting Tradition","Unknown artists","Central Asia","6","-0.7","0.5","-0.8","29.7","91.1"
"100","PxU","E","Spirituality","Khmer Hindu-Buddhist Synthesis","Suryavarman II, Jayavarman VII","Southeast Asia","7","-0.7","0.5","0.8","13.4","103.8"
"600","PxP","I","Spirituality","Theravada Buddhism (Southeast Asian)","Unknown monks","Southeast Asia","8","-0.6","-0.3","-0.8","13.8","100.5"
"800","PxP","E","Art","Borobudur & Angkor Temple Architecture","Unknown architects","Southeast Asia","8","-0.7","-0.2","0.8","-7.6","110.2"
"1400","PxU","E","Spirituality","Islam in Southeast Asia (Sufic spread)","Wali Sanga (Nine Saints)","Southeast Asia","7","-0.8","0.5","0.8","-6.2","106.8"
"1700","PxP","E","Art","Indonesian Wayang (Shadow Puppet Theatre)","Various dalang (puppeteers)","Southeast Asia","7","-0.7","-0.2","0.8","-7.6","110.2"
"1900","PxP","E","Art","Gamelan Music Tradition (formalization)","Various Javanese composers","Southeast Asia","6","-0.7","-0.4","0.8","-7.6","110.2"
"-700","PxU","I","Spirituality","Greek Mystery Religions (Eleusinian)","Unknown hierophants","Mediterranean","7","-0.9","0.5","-0.7","38.0","23.4"
"-700","PxP","E","Art","Homeric Epic & Oral Poetry","Homer (mythic)","Mediterranean","9","-0.7","0.0","0.8","38.0","23.4"
"-620","AxU","I","Philosophy","Pre-Socratic Philosophy (Milesian School)","Thales, Anaximander, Anaximenes","Mediterranean","8","0.7","0.7","-0.8","37.8","27.4"
"-570","AxU","I","Philosophy","Pythagoreanism","Pythagoras, Philolaus, Archytas","Mediterranean","8","0.5","0.8","-0.7","39.1","17.1"
"-540","PxP","I","Spirituality","Orphism","Orpheus (mythic), Pythagoras","Mediterranean","6","-0.7","0.3","-0.6","38.0","23.4"
"-500","PxU","E","Spirituality","Dionysian Religion / Bacchism","Unknown priests","Mediterranean","6","-0.9","0.5","0.8","38.0","23.4"
"-500","AxU","I","Philosophy","Heraclitean Philosophy","Heraclitus","Mediterranean","7","0.6","0.8","-0.7","38.3","26.1"
"-490","AxU","I","Philosophy","Eleatic School","Parmenides, Zeno of Elea","Mediterranean","7","0.8","0.9","-0.8","40.0","15.2"
