"year","quadrant","attitude","field","movement","individuals","region","weight","axis_pa","axis_pu","axis_ie","lat","lon"
"1965","PxU","I/E","Spirituality","New Age Movement","Various, David Spangler, Marilyn Ferguson","Global","6","-0.7","0.3","0.0","37.8","-122.4"
"1968","PxP","E","Art","Conceptual Art & Fluxus","Sol LeWitt, Yoko Ono, Joseph Beuys","North America","7","-0.6","-0.4","0.8","40.7","-74.0"
"1970","AxU","E","Science","Second-Order Cybernetics & Systems Theory","Bateson, von Foerster, Maturana, Varela","Global","8","0.5","0.6","0.7","40.7","-74.0"
"1970","AxP","E","Science","Sociobiology / Evolutionary Psychology","Wilson, Dawkins, Trivers","North America","7","0.7","-0.5","0.8","40.7","-74.0"
"1970","PxP","E","Art","Performance Art & Body Art","Marina Abramović, Chris Burden, Carolee Schneemann","Global","6","-0.7","-0.3","0.8","40.7","-74.0"
"1972","AxU","E","Science","Complexity Science & Chaos Theory","Prigogine, Mandelbrot, Lorenz","Global","8","0.5","0.6","0.8","48.9","2.3"
"1975","AxU","I","Philosophy","Enactivism & Embodied Cognition","Maturana, Varela, Thompson, Evan Thompson","Global","7","0.4","0.6","-0.7","37.8","-122.4"
"1975","AxU","I","Spirituality","Integral Philosophy (Ken Wilber)","Ken Wilber","North America","7","0.4","0.7","-0.7","39.7","-105.0"
"1975","PxU","E","Spirituality","Feminist Spirituality / Goddess Revival","Starhawk, Carol P. Christ, Merlin Stone","North America","6","-0.8","0.5","0.7","37.8","-122.4"
"1975","AxU","I","Philosophy","Participatory Epistemology (Ferrer, Tarnas)","Jorge Ferrer, Richard Tarnas","North America","6","0.3","0.6","-0.6","37.8","-122.4"
"1980","AxP","I","Philosophy","Analytic Philosophy of Mind","Dennett, Chalmers, Searle, Nagel","North America","7","0.8","-0.2","-0.7","40.7","-74.0"
"1980","PxP","E","Art","Postmodern Art","Jeff Koons, Cindy Sherman, Basquiat","North America","6","-0.5","-0.4","0.8","40.7","-74.0"
"1985","AxP","E","Science","Evolutionary Biology (evo-devo, extended synthesis)","Gould, Lewontin, Jablonka","Global","7","0.7","-0.4","0.8","51.5","-0.1"
"1990","AxP","E","Science","Neuroscience & Consciousness Studies","Crick, Koch, Damasio, Edelman","Global","8","0.7","-0.4","0.8","40.7","-74.0"
"1990","PxU","E","Philosophy","Ecofeminism & Deep Ecology","Arne Naess, Val Plumwood, Vandana Shiva","Global","6","-0.8","0.4","0.7","59.9","10.7"
"1990","AxU","E","Philosophy","Actor-Network Theory / Latour","Bruno Latour, Michel Callon","Europe","7","0.5","0.5","0.8","48.9","2.3"
"1990","AxP","E","Science","Economics — Austrian School & Institutionalism","Hayek, Mises, Veblen, Keynes","Global","7","0.7","-0.5","0.8","48.2","16.4"
"1990","AxU","I","Philosophy","Cognitive Linguistics (Lakoff, Johnson)","George Lakoff, Mark Johnson","North America","6","0.5","0.6","-0.7","37.8","-122.4"
"1995","AxP","E","Science","Cognitive Neuroscience","Antonio Damasio, Joseph LeDoux, Francis Crick, Wolf Singer, Patricia Churchland","Global","7","0.7","-0.4","0.9","40.7","-74.0"
"2000","AxU","I","Philosophy","Speculative Realism & Object-Oriented Ontology","Meillassoux, Harman, Morton","Global","6","0.4","0.6","-0.7","51.5","-0.1"
"2000","AxU","E","Philosophy","New Materialism & Feminist Philosophy of Science","Karen Barad, Donna Haraway, Stacy Alaimo","Global","6","0.4","0.6","0.7","40.7","-74.0"
"2010","AxP","E","Science","Machine Learning & AI (Deep Learning)","Hinton, LeCun, Bengio, Sutskever","Global","9","0.8","-0.5","0.9","37.8","-122.4"
"2010","PxP","I","Spirituality","Mindfulness & Secular Contemplative Science","Jon Kabat-Zinn, Thich Nhat Hanh, Richard Davidson","Global","7","-0.6","-0.2","-0.7","40.7","-74.0"
"-2500","PxU","E","Spirituality","Ancient Egyptian Theurgy & Ritual Magic","Unknown priests","Africa","7","-0.9","0.6","0.8","26.8","30.8"
"400","AxU","I","Philosophy","Ethiopian Orthodox Theology (Tewahedo)","Frumentius, Yared","Africa","6","0.5","0.7","-0.7","9.1","40.5"
"800","AxU","E","Philosophy","African Islamic Philosophy (West & East Africa)","Ahmad Baba al-Massufi","Africa","6","0.5","0.6","0.7","12.4","-1.7"
"1000","PxP","E","Spirituality","Yoruba Religion / Ifá Divination System","Unknown Babalawo lineages","Africa","7","-0.7","-0.3","0.7","6.9","3.9"
"1200","PxP","E","Art","West African Griot Tradition (oral history/music)","Unknown griots","Africa","8","-0.7","-0.4","0.9","12.4","-1.7"
"1300","PxP","E","Spirituality","Bantu Spiritual Traditions & Ubuntu Philosophy","Unknown","Africa","6","-0.7","-0.2","0.8","-5.0","23.0"
"1600","PxP","E","Spirituality","Vodou (Haitian, Dahomean roots)","Unknown","Caribbean/Africa","6","-0.8","-0.1","0.8","18.9","-72.3"
"1800","PxP","E","Spirituality","Candomblé / African Diaspora Religion","Unknown","Americas","6","-0.8","-0.1","0.8","-12.9","-38.5"
"1850","AxU","E","Philosophy","Pan-Africanism (early)","Edward Blyden, Martin Delany","Africa/Diaspora","7","0.5","0.6","0.8","5.6","-0.2"
"1900","AxU","E","Philosophy","Négritude Movement","Aimé Césaire, Léopold Sédar Senghor","Africa/Diaspora","7","0.4","0.7","0.8","14.7","-17.4"
"1945","AxU","E","Philosophy","African Philosophy (Ubuntu, Sage Philosophy)","Kwame Nkrumah, Julius Nyerere, Alexis Kagame","Africa","6","0.4","0.5","0.8","1.3","36.8"
"1960","AxU","E","Philosophy","African Postcolonial Theory","Frantz Fanon, Chinua Achebe, Wole Soyinka","Africa/Diaspora","8","0.5","0.6","0.8","14.7","-17.4"
"-20000","PxP","I/E","Spirituality","Native American Traditions (general)","Unknown","Americas","8","-0.8","-0.1","0.0","39.5","-98.35"
"-3000","PxU","E","Spirituality","Mesoamerican Religion (Maya cosmology)","Unknown priests","Americas","8","-0.9","0.5","0.8","15.5","-90.3"
"-3000","AxP","E","Science","Maya Mathematics & Calendar System","Unknown astronomers","Americas","8","0.6","-0.4","0.8","15.5","-90.3"
"-2000","PxU","E","Spirituality","Aztec / Mexica Religion","Unknown priests, Tlacaelel","Americas","7","-0.9","0.5","0.8","19.4","-99.1"
"-3000","PxP","I/E","Spirituality","Andean Traditions (Inca/pre-Inca, Pachamama)","Unknown","Americas","7","-0.8","-0.1","0.0","-13.5","-72.0"
"-10000","PxP","I/E","Spirituality","Australian Aboriginal Dreamtime","Unknown","Oceania","7","-0.9","-0.1","0.0","-25.3","131.0"
"-1000","PxP","E","Art","Polynesian Navigation & Oral Tradition","Unknown navigators","Oceania","7","-0.7","-0.5","0.8","-17.7","-149.4"
"1800","AxU","E","Philosophy","Latin American Independence Philosophy","Simón Bolívar, José Martí","Latin America","6","0.4","0.5","0.8","4.7","-74.1"
"1940","PxU","E","Art","Mexican Muralism","Diego Rivera, José Clemente Orozco, David Siqueiros","Latin America","8","-0.7","0.4","0.8","19.4","-99.1"
"1955","PxU","I/E","Art","Magical Realism (Latin American Literature)","Gabriel García Márquez, Jorge Luis Borges, Isabel Allende","Latin America","8","-0.7","0.3","0.0","4.7","-74.1"
"1960","AxU","E","Philosophy","Liberation Philosophy / Theology of Liberation","Gustavo Gutiérrez, Enrique Dussel, Paulo Freire","Latin America","8","0.5","0.6","0.8","-12.0","-77.0"
"1980","AxU","E","Philosophy","Decolonial Theory (Quijano, Mignolo)","Aníbal Quijano, Walter Mignolo, María Lugones, Gloria Anzaldúa","Latin America/Global","7","0.5","0.6","0.8","-12.0","-77.0"
"1960","AxU","E","Philosophy","Islamic Modernism & Reform Thought","Muhammad Iqbal, Sayyid Qutb, Ali Shariati","Middle East/South Asia","7","0.5","0.6","0.8","24.7","46.7"
"1970","AxU","E","Philosophy","Postcolonial Theory (Said, Bhabha, Spivak)","Edward Said, Homi Bhabha, Gayatri Spivak","Global","8","0.5","0.6","0.8","40.7","-74.0"
"1980","PxP","I","Spirituality","Engaged Buddhism (Thich Nhat Hanh, Sulak)","Thich Nhat Hanh, Sulak Sivaraksa","Southeast Asia/Global","7","-0.6","-0.3","-0.7","16.1","107.8"
"1990","AxU","E","Philosophy","Subaltern Studies Group","Ranajit Guha, Partha Chatterjee, Dipesh Chakrabarty","South Asia/Global","6","0.5","0.6","0.8","22.6","88.4"
"1995","AxP","E","Science","Genomics & Human Genome Project","Craig Venter, Francis Collins","Global","8","0.8","-0.5","0.9","38.9","-77.0"
"1950","AxP","I","Philosophy","Analytic Metaphysics (Kripke, Lewis)","Kripke, Lewis, Armstrong","North America","5","0.8","-0.1","-0.8","40.7","-74.0"
"1971","AxP","E","Philosophy","Political Liberalism (Rawls, Dworkin, Nozick)","Rawls, Dworkin, Nozick","North America","7","0.7","-0.4","0.8","40.7","-74.0"
"1980","AxU","E","Philosophy","Communicative Action (Habermas)","Jürgen Habermas","Europe","7","0.5","0.7","0.7","50.1","8.7"
"1980","AxU","E","Philosophy","Hannah Arendt — Political Philosophy & Natality","Hannah Arendt","Europe/N.America","8","0.4","0.6","0.7","40.7","-74.0"
"-150","AxP","E","Science","Galenic Medicine (Humoral Theory)","Galen of Pergamon, Dioscorides","Mediterranean","8","0.6","-0.5","0.8","41.9","12.5"
"900","AxP","E","Science","Unani Medicine (Islamic Galenic synthesis)","Ibn Sina (Canon of Medicine), Al-Razi","Middle East","7","0.5","-0.5","0.8","33.5","44.4"
"1150","PxP","I","Science","Hildegard of Bingen — Viriditas & Sacred Medicine","Hildegard of Bingen","Europe","6","-0.6","-0.4","-0.8","49.7","8.2"
"700","AxU","I","Science","Tibetan Medicine (Gyushi — Four Tantras)","Yuthog Yonten Gonpo","Central Asia","7","0.3","-0.2","-0.6","29.7","91.1"
"1796","PxU","I","Science","Homeopathy (Hahnemann — law of similars)","Samuel Hahnemann","Europe","6","-0.6","0.4","-0.7","51.3","12.4"
"1874","PxP","E","Science","Osteopathy & Chiropractic (somatic epistemology)","Andrew Taylor Still, D.D. Palmer","North America","5","-0.7","-0.5","0.8","38.9","-77.0"
"1920","PxP","E","Science","Anthroposophical Medicine (Steiner)","Rudolf Steiner, Ita Wegman","Europe","5","-0.7","-0.3","0.7","47.4","8.6"
"1887","AxP","E","Science","Durkheim — Sociology of Collective Representations","Émile Durkheim","Europe","8","0.7","-0.4","0.8","48.9","2.3"
"1890","AxU","I","Science","Weber — Ideal Types & Interpretive Sociology","Max Weber","Europe","8","0.5","0.6","-0.7","50.1","8.7"
"1900","AxU","I","Science","Simmel — Sociology of Form & Modernity","Georg Simmel","Europe","7","0.5","0.6","-0.7","52.5","13.4"
"1930","AxP","E","Science","American Sociology (Chicago School)","Dewey, Mead, Park, Jane Addams, Ruth Benedict, Margaret Mead","North America","7","0.6","-0.5","0.9","41.9","-87.6"
"1958","PxP","E","Science","Goffman — Interaction Ritual & Microsociology","Erving Goffman","North America","7","-0.6","-0.5","0.8","43.7","-79.4"
"1970","AxP","E","Science","Bourdieu — Habitus, Field & Social Capital","Pierre Bourdieu","Europe","8","0.6","-0.3","0.8","48.9","2.3"
"-380","PxU","E","Philosophy","Platonic Paideia (Education as Soul-Turning)","Plato, Socrates","Mediterranean","8","-0.6","0.6","0.7","37.9","23.7"
"1762","PxP","E","Philosophy","Rousseau — Emile (Nature-Based Education)","Jean-Jacques Rousseau","Europe","7","-0.7","-0.5","0.7","46.2","6.1"
"1800","PxP","E","Science","Pestalozzi — Intuition-Based Pedagogy","Johann Heinrich Pestalozzi","Europe","6","-0.7","-0.5","0.7","46.9","7.5"
"1837","PxP","E","Science","Froebel — Kindergarten & Play as Learning","Friedrich Froebel","Europe","7","-0.7","-0.5","0.7","51.5","11.4"
"1897","PxP","E","Science","Montessori Education (child-led, embodied learning)","Maria Montessori","Europe","8","-0.7","-0.6","0.8","41.9","12.5"
"1919","PxU","E","Philosophy","Waldorf Education (Steiner)","Rudolf Steiner","Europe","7","-0.7","0.4","0.7","47.4","8.6"
"1968","AxU","E","Philosophy","Freire — Pedagogy of the Oppressed","Paulo Freire","Latin America","8","0.4","0.5","0.8","-15.8","-47.9"
"1917","PxU","I","Philosophy","Rudolf Otto — The Numinous (Das Heilige)","Rudolf Otto","Europe","8","-0.7","0.6","-0.7","51.5","12.0"
"1913","AxU","I","Philosophy","Scheler — Phenomenology of Values & Emotions","Max Scheler","Europe","6","0.5","0.7","-0.7","52.5","13.4"
"1945","PxP","I","Philosophy","Merleau-Ponty — Phenomenology of Perception & Body","Maurice Merleau-Ponty","Europe","8","-0.5","-0.2","-0.7","48.9","2.3"
"1961","PxU","I","Philosophy","Levinas — Ethics as First Philosophy (The Other)","Emmanuel Levinas","Europe","8","-0.7","0.5","-0.8","48.9","2.3"
"1950","AxU","I","Philosophy","Phenomenology of Religion (van der Leeuw, Eliade)","Gerardus van der Leeuw, Mircea Eliade","Europe","7","0.4","0.6","-0.7","52.4","4.9"
"1542","PxU","I","Spirituality","Spanish Mysticism (John of the Cross, Teresa of Ávila)","Teresa of Ávila, John of the Cross, Ignatius of Loyola","Europe","8","-0.8","0.6","-0.9","40.4","-3.7"
"1881","PxU","I","Spirituality","Simone Weil — Mystical Philosophy & Affliction","Simone Weil","Europe","7","-0.7","0.5","-0.8","48.9","2.3"
"1915","AxU","I","Spirituality","Teilhard de Chardin — Evolutionary Mysticism & Noosphere","Pierre Teilhard de Chardin","Europe","8","0.3","0.7","-0.7","48.9","2.3"
"1938","PxP","I","Spirituality","Thomas Merton — Contemplative Writing & East-West Bridge","Thomas Merton","North America","7","-0.7","0.1","-0.8","37.3","-85.2"
"1058","PxU","I","Philosophy","Al-Ghazali — Incoherence of Philosophers & Sufi Turn","Al-Ghazali (Algazel)","Middle East","9","-0.6","0.6","-0.8","36.2","37.2"
"1004","AxU","I","Philosophy","Nasir Khusraw — Ismaili Philosophy & Cosmology","Nasir Khusraw","Persia/Central Asia","5","0.5","0.7","-0.7","39.5","68.8"
"1703","AxU","I","Philosophy","Shah Waliullah of Delhi — Islamic Reform Synthesis","Shah Waliullah Dehlawi","South Asia","6","0.5","0.6","-0.7","28.6","77.2"
"1877","AxU","I","Philosophy","Muhammad Iqbal — Reconstruction of Islamic Thought","Muhammad Iqbal","South Asia","7","0.5","0.7","-0.7","31.5","74.3"
"1256","AxU","I","Spirituality","Ramon Llull — Ars Magna (Universal Logic & Mysticism)","Ramon Llull","Mediterranean","6","0.2","0.7","-0.7","39.6","2.5"
"1810","AxU","I","Spirituality","Eliphas Lévi — Modern Occultism & Kabbalah Synthesis","Eliphas Lévi","Europe","7","0.3","0.7","-0.7","48.9","2.3"
"1866","AxU","I","Spirituality","Papus & Martinist Order","Gérard Encausse (Papus)","Europe","5","0.3","0.6","-0.7","48.9","2.3"
"1875","PxU","I","Spirituality","Dion Fortune — Mystical Qabalah & Western Mysteries","Dion Fortune","Europe","6","-0.6","0.6","-0.7","51.5","-0.1"
"1877","AxU","I","Spirituality","P.D. Ouspensky — Fourth Way Systematization","P.D. Ouspensky","Europe","6","0.3","0.6","-0.7","55.7","37.6"
"1898","PxU","I","Spirituality","Aleister Crowley — Thelema & Magick","Aleister Crowley","Europe","6","-0.7","0.4","-0.7","51.5","-0.1"
"1689","AxP","E","Philosophy","Locke — Political Liberalism & Natural Rights","John Locke","Europe","8","0.7","-0.4","0.8","51.5","-0.1"
"1748","AxP","E","Philosophy","Montesquieu — Separation of Powers","Montesquieu","Europe","8","0.7","-0.4","0.8","48.9","2.3"
"1776","AxP","E","Philosophy","Republican Political Philosophy (Federalist Papers)","Madison, Hamilton, Jefferson","North America","8","0.7","-0.4","0.8","38.9","-77.0"
"1790","AxP","E","Philosophy","Burke — Political Conservatism & Tradition","Edmund Burke","Europe","7","0.6","-0.2","0.8","51.5","-0.1"
"1835","AxP","E","Philosophy","Tocqueville — Democracy & Civil Society","Alexis de Tocqueville","Europe","7","0.6","-0.3","0.8","48.9","2.3"
"1921","AxP","E","Philosophy","Gramsci — Hegemony & Cultural Marxism","Antonio Gramsci","Europe","7","0.6","-0.4","0.8","41.9","12.5"
"1922","AxP","E","Philosophy","Carl Schmitt — Sovereignty & Political Theology","Carl Schmitt","Europe","6","0.7","-0.4","0.8","52.5","13.4"
"1756","AxP","E","Philosophy","Physiocrats — First Systematic Macroeconomics","François Quesnay, Anne-Robert-Jacques Turgot","Europe","6","0.7","-0.5","0.8","48.9","2.3"
"1776","AxP","E","Science","Adam Smith — Political Economy & Invisible Hand","Adam Smith","Europe","9","0.7","-0.4","0.8","55.9","-3.2"
"1817","AxP","E","Science","Classical Economics (Ricardo, Mill)","David Ricardo, John Stuart Mill","Europe","7","0.7","-0.5","0.8","51.5","-0.1"
"1936","AxP","E","Science","Keynesian Economics","John Maynard Keynes","Europe","8","0.7","-0.4","0.8","51.5","-0.1"
"1944","AxP","E","Science","Austrian School Economics (Hayek, Mises)","Friedrich Hayek, Ludwig von Mises","Europe","7","0.8","-0.4","0.8","48.2","16.4"
"1899","AxU","E","Science","Institutional Economics (Veblen, Galbraith)","Thorstein Veblen, John Kenneth Galbraith","North America","6","0.6","0.4","0.8","40.7","-74.0"
"1786","AxP","E","Science","Comparative Philology & Proto-Indo-European","William Jones, Jacob Grimm, Karl Brugmann","Europe","7","0.7","-0.5","0.8","51.5","-0.1"
"1957","AxU","I","Science","Chomsky — Generative Grammar & Universal Language","Noam Chomsky","North America","8","0.6","0.7","-0.8","40.7","-74.0"
"1929","PxP","I","Science","Sapir-Whorf Hypothesis (Linguistic Relativity)","Edward Sapir, Benjamin Lee Whorf","North America","6","-0.5","-0.4","-0.7","40.7","-74.0"
"1864","PxP","E","Science","George Perkins Marsh — First Environmental Science","George Perkins Marsh","North America","6","-0.5","-0.5","0.8","38.9","-77.0"
"1890","PxU","E","Spirituality","John Muir — Wilderness Mysticism & Conservation","John Muir","North America","7","-0.8","0.3","0.7","37.8","-119.5"
"1949","PxU","I","Philosophy","Aldo Leopold — Land Ethic","Aldo Leopold","North America","7","-0.7","0.3","-0.7","44.9","-89.5"
"1979","AxU","E","Science","Lovelock — Gaia Hypothesis","James Lovelock, Lynn Margulis","Europe","7","0.3","0.7","0.8","51.5","-0.1"
"1984","PxP","I","Science","E.O. Wilson — Biophilia Hypothesis","E.O. Wilson","North America","6","-0.5","-0.2","-0.7","42.4","-71.1"
"270","AxU","I","Philosophy","Plotinus — The Enneads (Neoplatonism)","Plotinus","Mediterranean","8","0.5","0.9","-0.9","41.9","12.5"
"-341","AxP","I","Philosophy","Epicurus — Pleasure, Atoms & the Good Life","Epicurus","Mediterranean","7","0.6","-0.5","-0.7","37.9","23.7"
"1842","PxU","I","Philosophy","William James — Radical Empiricism & Religious Experience","William James","North America","8","-0.4","0.3","-0.6","40.7","-74.0"
"1668","AxU","I","Philosophy","Vico — New Science & Historical Epistemology","Giambattista Vico","Europe","7","0.4","0.7","-0.7","40.9","14.5"
"-428","AxU","I","Philosophy","Plato — Theory of Forms & Recollection","Plato","Mediterranean","10","0.6","0.9","-0.8","37.9","23.7"
"354","PxU","I","Philosophy","Augustine — Confessions & Inward Turn","Augustine of Hippo","Mediterranean","8","-0.6","0.6","-0.9","36.7","3.2"
"-500","AxU","I","Philosophy","Laozi — Tao Te Ching","Laozi","East Asia","9","-0.8","0.7","-0.9","35.0","108.0"
"-370","PxU","I","Philosophy","Zhuangzi — Spontaneity & Relativity of Perspectives","Zhuangzi","East Asia","8","-0.8","0.5","-0.8","35.0","108.0"
"1180","AxU","I","Philosophy","Maimonides — Jewish Rationalist Philosophy","Maimonides (Rambam)","Mediterranean","7","0.6","0.8","-0.8","36.7","-4.4"
"1225","AxU","I","Philosophy","Thomas Aquinas — Summa Theologica","Thomas Aquinas","Europe","8","0.6","0.8","-0.7","48.9","2.3"
"-384","AxP","E","Philosophy","Aristotle — Logic, Biology & Practical Philosophy","Aristotle","Mediterranean","10","0.7","-0.3","0.8","37.9","23.7"
"1632","AxU","I","Philosophy","Spinoza — Ethics & Substance Monism","Baruch Spinoza","Europe","8","0.7","0.8","-0.8","52.4","4.9"
"1646","AxU","I","Philosophy","Leibniz — Monadology & Pre-Established Harmony","Gottfried Wilhelm Leibniz","Europe","8","0.6","0.8","-0.8","52.5","13.4"
"1724","AxP","I","Philosophy","Hume — Skeptical Empiricism & Bundle Theory of Self","David Hume","Europe","8","0.7","-0.4","-0.8","55.9","-3.2"
"1813","AxU","I","Philosophy","Schopenhauer — Will, Representation & Pessimism","Arthur Schopenhauer","Europe","8","0.5","0.7","-0.8","50.1","8.7"
"2000","PxP","E","Art","Digital Art & Net Art","Various","Global","5","-0.3","-0.5","0.9","40.7","-74.0"
"-5000","PxP","I/E","Spirituality","African Traditional Religions (general)","Unknown","Africa","8","-0.8","-0.2","0.0","5.0","20.0"
"1920","AxU","I","Philosophy","Process Philosophy / Whitehead","A.N. Whitehead","Europe","7","0.5","0.7","-0.7","42.4","-71.1"
"1330","AxU","I","Philosophy","William of Ockham / Nominalism","William of Ockham, Jean Buridan","Europe","7","0.7","0.4","-0.7","51.5","-0.5"
"1920","PxP","E","Spirituality","Biodynamic Agriculture","Rudolf Steiner, Ehrenfried Pfeiffer","Europe","5","-0.6","-0.6","0.7","47.4","8.6"
"100","AxU","I","Philosophy","Buddhist Abhidharma / Cognitive Psychology","Vasubandhu, Buddhaghosa","South Asia","6","0.4","0.5","-0.8","25.0","82.0"
"1720","PxU","E","Spirituality","Deism & Natural Theology","Voltaire, Thomas Paine, John Toland","Europe","6","0.2","0.6","0.7","48.9","2.3"
"1950","PxP","E","Science","Family Systems Therapy","Gregory Bateson, Murray Bowen, Virginia Satir","North America","6","-0.5","-0.4","0.7","40.7","-74.0"
"1942","PxP","I","Philosophy","Logotherapy (Frankl)","Viktor Frankl","Europe","6","-0.4","-0.2","-0.6","48.2","16.4"
"1998","AxP","E","Science","Positive Psychology","Martin Seligman, Mihaly Csikszentmihalyi","North America","6","0.5","-0.4","0.8","40.7","-74.0"
"2017","AxP","E","Science","Generative AI & Large Language Models","Geoffrey Hinton, Yann LeCun, Ilya Sutskever, Demis Hassabis, Sam Altman","Global/North America","8","0.9","-0.3","0.9","37.8","-122.4"
"1950","AxU","I","Philosophy","Philosophy of Artificial Intelligence","Alan Turing, John Searle, Hubert Dreyfus, John McCarthy, Marvin Minsky","North America/Europe","7","0.7","0.6","-0.6","40.7","-74.0"
"1373","PxU","I","Spirituality","Julian of Norwich — Theology of Divine Love","Julian of Norwich","Europe","6","-0.7","0.7","-0.9","52.6","1.3"
"1250","PxU","I","Spirituality","Women's Mystical Writing (Frauenmystik)","Mechthild of Magdeburg, Hadewijch of Antwerp, Marguerite Porete, Birgitta of Sweden, Catherine of Siena","Europe","7","-0.8","0.8","-0.8","50.9","4.3"
"1792","AxP","E","Philosophy","Liberal Feminism (Wollstonecraft to Suffrage)","Mary Wollstonecraft, Harriet Taylor Mill, J.S. Mill, Elizabeth Cady Stanton, Emmeline Pankhurst","Europe/North America","7","0.6","-0.3","0.9","51.5","-0.1"
"1963","AxU","E","Philosophy","Second-Wave Feminism & Feminist Theory","Simone de Beauvoir, Betty Friedan, Kate Millett, Adrienne Rich, bell hooks, Andrea Dworkin","North America/Europe","8","0.5","0.6","0.8","40.7","-74.0"
"1983","AxU","I","Philosophy","Feminist Epistemology & Standpoint Theory","Sandra Harding, Lorraine Code, Helen Longino, Donna Haraway, Patricia Hill Collins","North America","7","0.5","0.7","-0.6","40.7","-74.0"
"1982","PxU","I","Philosophy","Ethics of Care","Carol Gilligan, Nel Noddings, Virginia Held, Joan Tronto","North America","7","-0.4","0.4","-0.6","40.7","-74.0"
"1983","AxU","E","Spirituality","Womanist Theology & Ethics","Alice Walker, Delores Williams, Katie Cannon, Jacquelyn Grant","North America","6","0.4","0.6","0.7","33.7","-84.4"
"700","PxU","I","Spirituality","Sri Vidya & Goddess Tantra (Devi tradition)","Adi Shankaracharya, Bhaskararaya, Amritananda Natha","South Asia","7","-0.7","0.8","-0.7","11.0","77.0"
"1498","PxU","E","Spirituality","Mirabai — Feminine Devotional Poetry","Mirabai","South Asia","7","-0.8","0.6","0.7","24.6","73.7"
"1854","PxP","E","Science","Nursing & Caring Epistemology","Florence Nightingale, Virginia Henderson, Patricia Benner","Europe/Global","6","-0.5","-0.5","0.7","51.5","-0.1"
"1908","AxU","I","Philosophy","Simone de Beauvoir — Feminist Existentialism","Simone de Beauvoir","Europe","7","0.5","0.6","-0.7","48.9","2.3"
"-2000","PxP","E","Spirituality","Matrilineal Indigenous Traditions (Minangkabau, Mosuo, Khasi)","Unknown","Southeast Asia/East Asia","6","-0.8","-0.3","0.7","0.9","100.4"
"1669","AxU","I","Philosophy","Sor Juana Inés de la Cruz — Colonial Baroque & Feminist Humanism","Sor Juana Inés de la Cruz","Latin America","6","0.5","0.5","-0.7","19.4","-99.1"
"1840","PxU","E","Philosophy","Anarchism (Proudhon, Bakunin, Goldman, Kropotkin)","Pierre-Joseph Proudhon, Mikhail Bakunin, Peter Kropotkin, Emma Goldman","Europe/North America","7","-0.7","0.3","0.8","48.9","2.3"
